a_LCA,a_IA,a_PCA,a_CT,a_TA,Ps,F0,SPL,ACFL,PC,CPP,PC_loc
0.831242520606806,0.831242520606806,0,0.126666673940643,0.242822855822117,975.868001768118,135.999514287449,122.962376959809,2172.0085092899,1657.30866043661,31.7864760922698,0.578947368421053
0.569635809718476,0.569635809718476,0,0.0910787076122684,0.0960472943316002,918.762545044334,137.999507144617,123.614974945045,2420.62972660258,1530.23476963126,27.1298291782591,0.368421052631579
0.569469960089561,0.569469960089561,0,0.102642860880824,0.477299164913964,632.691957326141,135.999514287449,111.688545466046,854.837214058829,71.6735850222706,19.926412183565,0.473684210526316
0.796294107248908,0.796294107248908,0,0.147532531518639,0.906655587174862,739.718703952495,135.999514287449,111.093016038243,835.497756899868,915.345609423613,12.9225829887898,1
0.649001834475873,0.649001834475873,0,0.45396565078594,0.685939228293157,614.3048097085,153.999450001964,40.6764767719095,0.637975621424741,653.203085156398,8.44866184624983,1
0.836051117673579,0.836051117673579,0,0.732325590689679,0.113945443155818,767.409769969593,165.999407144974,115.814669382972,1095.33049724587,220.36125030554,22.2404854116125,1
0.840460263342746,0.840460263342746,0,0.44947683005476,0.355275715183646,835.443528307977,143.999485716122,124.740226068775,1471.99243832696,1223.70199320583,22.2785735929369,0.526315789473684
0.725124680195912,0.725124680195912,0,0.702758034792588,0.00175025992302724,812.902410179682,153.999450001964,120.846038422066,1744.02967289171,1442.89594494462,26.6373595475212,0.473684210526316
0.770254486577627,0.770254486577627,0,0.742667597547335,0.889381696633984,700.584105324761,407.998542862347,-41.9375154014123,1.61001274703691e-05,928.363946528758,13.8056334829346,1
0.883718296648711,0.883718296648711,0,0.127640340002447,0.0380866871003673,761.887000242064,141.999492858954,125.291844680966,1627.69174515863,1085.21144056144,33.1856533386483,0.526315789473684
0.586753419528776,0.586753419528776,0,0.814107705602788,0.490895763512879,761.57719386601,165.999407144974,113.514584080311,876.079426457857,123.050065418241,15.190555654143,1
0.962571408929772,0.962571408929772,0,0.781108452153246,0.655817200101824,958.081904251471,155.999442859133,117.010314659229,1346.34408482276,770.379763735915,24.9587242139131,1
0.820831110591062,0.820831110591062,0,0.408213392099529,0.278522976166337,603.744591047814,153.999450001964,110.194224334117,662.146585531649,455.55985604616,10.3129018632578,1
0.605551060134239,0.605551060134239,0,0.455742340965584,0.795121864516862,642.50258690271,157.999435716301,-32.6035069754064,0.000248727611206964,657.955544803719,16.0402349166502,1
0.838533181556233,0.838533181556233,0,0.167299053159603,0.470385611306592,621.67522206191,141.999492858954,110.331560120203,705.822352024457,651.947069071795,10.2327257958832,1
0.818925696786108,0.818925696786108,0,0.239021455389521,0.212849841798207,812.456906638106,137.999507144617,122.671949298942,1597.78733702055,1376.1080414471,28.0479895314797,0.526315789473684
0.528207896925512,0.528207896925512,0,0.467429683717437,0.0403787603528318,951.74504861059,149.999464287628,124.30481658598,2512.848471952,1497.81590033165,22.9256813806676,0.315789473684211
0.974576199249972,0.974576199249972,0,0.0393784572048483,0.866974126683193,851.487052361359,117.999578572934,117.382669636024,1423.8810774301,1471.18300904514,23.300633772051,0.473684210526316
0.888595602446455,0.888595602446455,0,0.468866584390215,0.970417984363004,896.316346555283,147.999471430459,115.12450968124,1113.40414504342,934.544425164167,10.4038712830719,1
0.822765385542312,0.822765385542312,0,0.966320921810662,0.555354654055966,873.511055516138,165.999407144974,115.360353440928,1069.35435449321,754.731832537601,11.3359123476884,1
0.979361951244688,0.979361951244688,0,0.318907934732487,0.767413242172473,854.733551101739,139.999500001786,115.319273286361,1213.63970649695,808.389634609938,30.0622962134365,1
0.51087074228513,0.51087074228513,0,0.0914758632812162,0.778968035596419,611.5069326678,137.999507144617,106.900252589902,523.736069450999,320.819345403334,20.5718307316247,1
0.557829993838153,0.557829993838153,0,0.0686613645248516,0.372565759536452,648.782966164304,125.999550001607,115.52620524041,1242.14144845366,1026.8440199116,28.6470901340985,0.526315789473684
0.520981531979003,0.520981531979003,0,0.590504349388339,0.981042212065808,971.115907205548,157.999435716301,116.112641575323,1233.234837137,640.050294687331,16.7016163898535,1
0.630012698949675,0.630012698949675,0,0.23050188524096,0.934217546131685,965.379597592749,129.999535715944,118.586209517952,1666.60950821678,1495.36679096154,35.0530181162984,0.578947368421053
