a_LCA,a_IA,a_PCA,a_CT,a_TA,Ps,F0,SPL
0.831242520606806,0.831242520606806,0,0.126666673940643,0.242822855822117,975.868001768118,135.999514287449,122.962376959812
0.569635809718476,0.569635809718476,0,0.0910787076122684,0.0960472943316002,918.762545044334,137.999507144617,123.614974945045
0.569469960089561,0.569469960089561,0,0.102642860880824,0.477299164913964,632.691957326141,135.999514287449,111.688545466046
0.796294107248908,0.796294107248908,0,0.147532531518639,0.906655587174862,739.718703952495,135.999514287449,111.093016038244
0.649001834475873,0.649001834475873,0,0.45396565078594,0.685939228293157,614.3048097085,153.999450001964,40.6764767691738
0.836051117673579,0.836051117673579,0,0.732325590689679,0.113945443155818,767.409769969593,165.999407144974,115.814669382972
0.840460263342746,0.840460263342746,0,0.44947683005476,0.355275715183646,835.443528307977,143.999485716122,124.740226068775
0.725124680195912,0.725124680195912,0,0.702758034792588,0.00175025992302724,812.902410179682,153.999450001964,120.846038422066
0.770254486577627,0.770254486577627,0,0.742667597547335,0.889381696633984,700.584105324761,407.998542862347,-41.9375459959728
0.883718296648711,0.883718296648711,0,0.127640340002447,0.0380866871003673,761.887000242064,141.999492858954,125.291844680966
0.586753419528776,0.586753419528776,0,0.814107705602788,0.490895763512879,761.57719386601,165.999407144974,113.514584080311
0.962571408929772,0.962571408929772,0,0.781108452153246,0.655817200101824,958.081904251471,155.999442859133,117.010314659229
0.820831110591062,0.820831110591062,0,0.408213392099529,0.278522976166337,603.744591047814,153.999450001964,110.194224334117
0.605551060134239,0.605551060134239,0,0.455742340965584,0.795121864516862,642.50258690271,157.999435716301,-32.6034999081146
0.838533181556233,0.838533181556233,0,0.167299053159603,0.470385611306592,621.67522206191,141.999492858954,110.331560120203
0.818925696786108,0.818925696786108,0,0.239021455389521,0.212849841798207,812.456906638106,137.999507144617,122.671949298942
0.528207896925512,0.528207896925512,0,0.467429683717437,0.0403787603528318,951.74504861059,149.999464287628,124.30481658598
0.974576199249972,0.974576199249972,0,0.0393784572048483,0.866974126683193,851.487052361359,117.999578572934,117.382669636023
0.888595602446455,0.888595602446455,0,0.468866584390215,0.970417984363004,896.316346555283,147.999471430459,115.12450968124
0.822765385542312,0.822765385542312,0,0.966320921810662,0.555354654055966,873.511055516138,165.999407144974,115.360353440929
0.979361951244688,0.979361951244688,0,0.318907934732487,0.767413242172473,854.733551101739,139.999500001786,115.319273286361
0.51087074228513,0.51087074228513,0,0.0914758632812162,0.778968035596419,611.5069326678,137.999507144617,106.900252589902
0.557829993838153,0.557829993838153,0,0.0686613645248516,0.372565759536452,648.782966164304,125.999550001607,115.52620524041
0.520981531979003,0.520981531979003,0,0.590504349388339,0.981042212065808,971.115907205548,157.999435716301,116.112641575323
0.630012698949675,0.630012698949675,0,0.23050188524096,0.934217546131685,965.379597592749,129.999535715944,118.586073565834
0.998987210240817,0.998987210240817,0,0.665504209356528,0.556229292865462,940.151502880726,143.999485716122,126.332371808547
0.864054878462486,0.864054878462486,0,0.242090501769407,0.724933401590021,695.904200090982,141.999492858954,110.923460941106
0.599894299766118,0.599894299766118,0,0.464037069288569,0.460016343698375,785.004455391462,153.999450001964,114.953600300105
0.730645159095032,0.730645159095032,0,0.67106289014772,0.230266826790867,797.785583126055,161.999421430638,116.00051619395
0.935365551858216,0.935365551858216,0,0.441016682926844,0.558459261414194,609.557136165958,151.999457144796,105.690430931534
0.782535280346164,0.782535280346164,0,0.320371349054438,0.479903486778568,983.272141618166,135.999514287449,121.8442819714
0.542861957014948,0.542861957014948,0,0.937517119346303,0.782762620324306,760.471384289909,169.999392859311,108.116811775001
0.523913585440543,0.523913585440543,0,0.174734490405905,0.916735742380277,852.81904115031,137.999507144617,114.645898465264
0.687265307058943,0.687265307058943,0,0.318651217762932,0.00889649922093216,925.374436193816,149.999464287628,124.346508010608
0.754714396190826,0.754714396190826,0,0.662707289055824,0.983903283211278,968.588668842947,155.999442859133,115.876803765928
